project,name,ending,date,sex,race,category,title,soc,employees,hours,wages
Expo Center,EJ Construction Group Inc.,May,2018-07-10,Male,White,Craft_Workers,Reinforcing Iron and Rebar Workers,47-2171,4,54,1736
Expo Center,EJ Construction Group Inc.,May,2018-08-01,Male,White,Craft_Workers,Reinforcing Iron and Rebar Workers,47-2171,3,63,2308.5
Expo Center,EJ Construction Group Inc.,May,2018-09-06,Male,White,Craft_Workers,Reinforcing Iron and Rebar Workers,47-2171,4,48,1549
Expo Center,EJ Construction Group Inc.,May,2018-02-01,Male,White,Craft_Workers,Reinforcing Iron and Rebar Workers,47-2171,6,522,17448
Expo Center,"E.M. Pfaff & Son, Inc.",May,2018-09-01,Male,White,Craft_Workers,Cabinetmakers and Bench Carpenters,51-7011,2,21,976.5
Expo Center,"E.M. Pfaff & Son, Inc.",May,2018-08-01,Male,White,Craft_Workers,Cabinetmakers and Bench Carpenters,51-7011,2,49,2279.6
Expo Center,"Ferraro Pile & Shoring, Inc.",May,2018-02-11,Male,White,Craft_Workers,Pile-Driver Operators,NA,3,77,NA
Expo Center,"Ferraro Pile & Shoring, Inc.",May,2018-02-11,Male,White,Craft_Workers,Operating Engineers and Other Construction Equipment Operators,47-2073,3,121.5,NA
Expo Center,"Ferraro Pile & Shoring, Inc.",May,2018-02-11,Male,White,Craft_Workers,Pile-Driver Operators,NA,11,755.5,NA
Expo Center,"Ferraro Pile & Shoring, Inc.",May,2018-02-11,Male,White,Craft_Workers,Operating Engineers and Other Construction Equipment Operators,47-2073,4,490,NA
Expo Center,"Glenn Davis Valve Solutions, Inc.",May,2018-07-21,Male,White,Craft_Workers,"Construction and Related Workers, All Other",NA,2,20,827
Expo Center,JJP Slipforming Inc,May,2018-08-16,Male,White,Labors_Helpers,Construction Laborers,NA,11,520,20367.599999999999
Expo Center,JJP Slipforming Inc,May,2018-08-16,Male,White,Craft_Workers,Cement Masons and Concrete Finishers,47-2051,5,189,8075.95
Expo Center,JJP Slipforming Inc,May,2018-08-16,Male,White,Craft_Workers,First-Line Supervisors of Construction Trades and Extraction Workers,47-1011,2,30,1699.35
Expo Center,John W. Danforth Company,May,2018-05-03,Male,White,Craft_Workers,"Plumbers, Pipefitters, and Steamfitters",47-2152,26,3912,132611
Expo Center,John W. Danforth Company,May,2018-04-07,Male,White,Craft_Workers,"Plumbers, Pipefitters, and Steamfitters",47-2152,4,418,13215.85
Expo Center,John W. Danforth Company,May,2018-05-03,Male,White,Craft_Workers,"Plumbers, Pipefitters, and Steamfitters",47-2152,18,2350,77640
Expo Center,John W. Danforth Company,May,2018-08-09,Male,White,Craft_Workers,"Plumbers, Pipefitters, and Steamfitters",47-2152,24,2082.5,72292.83
Expo Center,John W. Danforth Company,May,2018-09-12,Male,White,Craft_Workers,"Plumbers, Pipefitters, and Steamfitters",47-2152,23,1735,66903
Expo Center,John W. Danforth Company,May,2018-03-02,Male,White,Craft_Workers,"Plumbers, Pipefitters, and Steamfitters",47-2152,353,4,10657
Expo Center,John W. Danforth Company,May,2018-07-10,Male,White,Craft_Workers,"Plumbers, Pipefitters, and Steamfitters",47-2152,25,4783,155091.41
Expo Center,John W. Danforth Company,May,2018-02-08,Male,White,Craft_Workers,"Plumbers, Pipefitters, and Steamfitters",47-2152,2,18.5,696.38
Expo Center,"Kim Industries, Inc.",May,2018-08-14,Male,White,Craft_Workers,"Insulation Workers, Mechanical",NA,7,541,16014.74
Expo Center,"Kim Industries, Inc.",May,2018-08-14,Male,White,Craft_Workers,Sheet Metal Workers,47-2211,1,151,4259.71
Expo Center,"Kim Industries, Inc.",May,2018-08-14,Male,White,Craft_Workers,"Insulation Workers, Mechanical",NA,6,515,15490.73
Expo Center,"Kim Industries, Inc.",May,2018-08-14,Male,White,Craft_Workers,"Insulation Workers, Mechanical",NA,4,90,2612.41
Expo Center,"Kim Industries, Inc.",May,2018-08-14,Male,White,Craft_Workers,Sheet Metal Workers,47-2211,1,200.5,5656.11
Expo Center,"KSP Painting of Syracuse, Ltd.",May,2018-07-04,Male,White,Craft_Workers,"Painters, Construction and Maintenance",47-2141,4,432,NA
Expo Center,"KSP Painting of Syracuse, Ltd.",May,2018-08-01,Male,White,Craft_Workers,"Painters, Construction and Maintenance",47-2141,6,463,NA
Expo Center,"KSP Painting of Syracuse, Ltd.",May,2018-09-06,Male,White,Craft_Workers,"Painters, Construction and Maintenance",47-2141,7,634,NA
Expo Center,"KSP Painting of Syracuse, Ltd.",May,2018-07-04,Male,White,Craft_Workers,"Painters, Construction and Maintenance",47-2141,5,465,NA
Expo Center,Land Pro Inc.,May,2000-01-01,Male,White,Executive_SeniorOfficers_Mgrs,Chief Executives,NA,1,2,NA
Expo Center,Land Pro Inc.,May,2000-01-01,Male,White,Operatives,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",NA,1,3.5,125.26
Expo Center,Land Pro Inc.,May,2000-01-01,Male,White,Labors_Helpers,"Helpers, Construction Trades, All Other",47-3019,1,12.5,309.37
Expo Center,Land Pro Inc.,May,2000-01-01,Male,White,Labors_Helpers,"Helpers, Construction Trades, All Other",47-3019,1,9,241.32
Expo Center,Land Pro Inc.,May,2000-01-01,Male,White,Labors_Helpers,"Helpers, Construction Trades, All Other",47-3019,1,9.5,253.69
Expo Center,Land Pro Inc.,May,2000-01-01,Male,White,Executive_SeniorOfficers_Mgrs,Chief Executives,NA,1,28,NA
Expo Center,Land Pro Inc.,May,2000-01-01,Male,White,Administrative_Support_Workers,"Office and Administrative Support Workers, All Other",43-9199,1,0,0
Expo Center,Land Pro Inc.,May,2000-01-01,Male,White,Craft_Workers,Excavating and Loading Machine and Dragline Operators,53-7032,1,17.5,1057.53
Expo Center,Land Pro Inc.,May,2000-01-01,Male,White,Labors_Helpers,"Helpers, Construction Trades, All Other",37-3011,8,282,12542.42
Expo Center,"Lupini Construction, Inc.",May,2018-08-03,Male,White,Craft_Workers,"Construction and Related Workers, All Other",NA,6,342,11823.41
Expo Center,"Lupini Construction, Inc.",May,2018-08-03,Male,White,Craft_Workers,"Construction and Related Workers, All Other",NA,6,342,11823.41
Expo Center,"Lupini Construction, Inc.",May,2018-08-30,Male,White,Craft_Workers,"Construction and Related Workers, All Other",NA,3,345,11970.35
Expo Center,"Lupini Construction, Inc.",May,2018-08-30,Male,White,Craft_Workers,"Construction and Related Workers, All Other",NA,3,345,11970.35
Expo Center,"Lupini Construction, Inc.",May,2018-07-25,Male,White,Craft_Workers,"Construction and Related Workers, All Other",NA,2,13,444.08
Expo Center,"Lupini Construction, Inc.",May,2018-07-25,Male,White,Craft_Workers,"Construction and Related Workers, All Other",NA,2,13,444.08
Expo Center,Martin-Zombek Construction Serivces Inc.,May,2018-06-06,Male,White,Craft_Workers,"Painters, Construction and Maintenance",47-2141,5,536,14879.56
Expo Center,Martin-Zombek Construction Serivces Inc.,May,2018-06-06,Male,White,Craft_Workers,Drywall and Ceiling Tile Installers,47-2081,59,9000.73,266114.75
Expo Center,Martin-Zombek Construction Serivces Inc.,May,2018-07-06,Male,White,Craft_Workers,"Painters, Construction and Maintenance",47-2141,4,463.75,11986.23
Expo Center,Martin-Zombek Construction Serivces Inc.,May,2018-07-06,Male,White,Craft_Workers,Drywall and Ceiling Tile Installers,47-2081,45,6641.25,190237.51
Expo Center,Martin-Zombek Construction Serivces Inc.,May,2018-05-03,Male,White,Craft_Workers,Drywall and Ceiling Tile Installers,47-2081,36,3063.5,89030.59
Expo Center,Martin-Zombek Construction Serivces Inc.,May,2018-05-03,Male,White,Craft_Workers,Drywall and Ceiling Tile Installers,47-2081,36,3063.5,89030.59
Expo Center,Martin-Zombek Construction Serivces Inc.,May,2018-08-04,Male,White,Craft_Workers,"Painters, Construction and Maintenance",47-2141,6,770.44,21334.7
Expo Center,Martin-Zombek Construction Serivces Inc.,May,2018-08-04,Male,White,Craft_Workers,Drywall and Ceiling Tile Installers,47-2081,43,5256.41,154961.66
Expo Center,Martin-Zombek Construction Serivces Inc.,May,2018-08-04,Male,White,Craft_Workers,"Painters, Construction and Maintenance",47-2141,6,770.44,21334.7
Expo Center,Martin-Zombek Construction Serivces Inc.,May,2018-08-04,Male,White,Craft_Workers,Drywall and Ceiling Tile Installers,47-2081,43,5256.41,154961.66
Expo Center,Martin-Zombek Construction Serivces Inc.,May,2018-09-08,Male,White,Craft_Workers,"Painters, Construction and Maintenance",47-2141,5,247.2,5286.48
Expo Center,Martin-Zombek Construction Serivces Inc.,May,2018-09-08,Male,White,Craft_Workers,Drywall and Ceiling Tile Installers,47-2081,23,1641.4,47995.81
Expo Center,"Northern Stud Welding, LLC.",May,2018-06-07,Male,White,Labors_Helpers,"Helpers, Construction Trades, All Other",47-3019,2,18,551
Expo Center,Pompey Construction Services Inc.,May,2018-03-16,Male,White,Labors_Helpers,Construction Laborers,NA,6,491,12212
Expo Center,Pompey Construction Services Inc.,May,2018-03-16,Male,White,Labors_Helpers,Construction Laborers,NA,3,324,8167.5
Expo Center,Pompey Construction Services Inc.,May,2018-03-16,Male,White,Labors_Helpers,Construction Laborers,NA,3,267,7821.97
Expo Center,Pompey Construction Services Inc.,May,2018-08-02,Male,White,Labors_Helpers,Construction Laborers,47-2061,2,253,7017
Expo Center,Pompey Construction Services Inc.,May,2018-08-02,Male,White,Craft_Workers,Operating Engineers and Other Construction Equipment Operators,47-2073,2,245,9643.119999999999
Expo Center,Pompey Construction Services Inc.,May,2018-09-05,Male,White,Labors_Helpers,Construction Laborers,47-2061,4,539,14701.53
Expo Center,Pompey Construction Services Inc.,May,2018-09-05,Male,White,Craft_Workers,Operating Engineers and Other Construction Equipment Operators,47-2073,3,351.5,14380.37
Expo Center,Pompey Construction Services Inc.,May,2018-09-05,Male,White,Craft_Workers,Carpenters,47-2031,3,339,9629.83
Expo Center,Pompey Construction Services Inc.,May,2018-03-16,Male,White,Labors_Helpers,Construction Laborers,NA,6,448,11616
Expo Center,Ravi Engineering & Land Surveying,May,2018-04-27,Male,White,Professionals,Surveyors,17-1022,2,31,NA
Expo Center,Ravi Engineering & Land Surveying,May,2018-04-27,Male,White,Professionals,Surveyors,17-1022,2,31,NA
Expo Center,Ravi Engineering & Land Surveying,May,2018-07-21,Male,White,Professionals,Surveyors,17-1022,2,16,NA
Expo Center,Ravi Engineering & Land Surveying,May,2018-07-21,Male,White,Professionals,Surveyors,17-1022,2,16,NA
Expo Center,Ravi Engineering & Land Surveying,May,2017-12-30,Male,White,Professionals,Surveyors,17-1022,2,46,NA
Expo Center,Ravi Engineering & Land Surveying,May,2017-12-30,Male,White,Professionals,Surveyors,17-1022,2,46,NA
Expo Center,"RIDLEY ELECTRIC CO., INC.",May,2018-03-06,Male,White,Craft_Workers,Electricians,47-2111,7,617,23848.18
Expo Center,"RIDLEY ELECTRIC CO., INC.",May,2018-04-04,Male,White,Craft_Workers,Electricians,47-2111,7,666,24558.29
Expo Center,"RIDLEY ELECTRIC CO., INC.",May,2018-04-04,Male,White,Craft_Workers,Electricians,47-2111,7,666,24558.29
Expo Center,"RIDLEY ELECTRIC CO., INC.",May,2018-04-04,Male,White,Craft_Workers,Electricians,47-2111,7,666,24558.29
Expo Center,"RIDLEY ELECTRIC CO., INC.",May,2018-05-02,Male,White,Craft_Workers,Electricians,47-2111,10,1267,48383
Expo Center,"RIDLEY ELECTRIC CO., INC.",May,2018-07-10,Male,White,Craft_Workers,Electricians,47-2111,21,3717.5,152372.31
Expo Center,"RIDLEY ELECTRIC CO., INC.",May,2018-08-07,Male,White,Craft_Workers,Electricians,47-2111,34,5467,235346
Expo Center,"RIDLEY ELECTRIC CO., INC.",May,2018-02-08,Male,White,Craft_Workers,Electricians,47-2111,9,752,30331.68
Expo Center,"Robert H. Law, Inc.",May,2018-08-28,Male,White,Craft_Workers,"Construction and Related Workers, All Other",47-4099,5,75,2407.7800000000002
Expo Center,"Robert H. Law, Inc.",May,2018-08-28,Male,White,Craft_Workers,Excavating and Loading Machine and Dragline Operators,53-7032,2,18,663.12
Expo Center,Rommel Fence LLC,May,2018-03-09,Male,White,Labors_Helpers,"Helpers, Construction Trades, All Other",47-3019,5,54,1399.93
Expo Center,Rommel Fence LLC,May,2018-03-09,Male,White,Craft_Workers,"Construction and Related Workers, All Other",47-4099,1,25,739.5
Expo Center,"D. J. Rossetti, Inc.",May,2000-01-01,Male,White,Craft_Workers,Cement Masons and Concrete Finishers,47-2051,6,53,NA
Expo Center,"D. J. Rossetti, Inc.",May,2000-01-01,Male,White,Labors_Helpers,Construction Laborers,47-2061,5,40,NA
Expo Center,"SRI Fire Sprinkler, LLC",May,2018-06-06,Male,White,Craft_Workers,"Plumbers, Pipefitters, and Steamfitters",(47-2152),4,414,14590.56
Expo Center,"SRI Fire Sprinkler, LLC",May,2018-06-06,Male,White,Craft_Workers,"Plumbers, Pipefitters, and Steamfitters",(47-2152),2,118,4457.38
Expo Center,"SRI Fire Sprinkler, LLC",May,2018-05-04,Male,White,Craft_Workers,"Plumbers, Pipefitters, and Steamfitters",NA,9,603,20106.29
Expo Center,"SRI Fire Sprinkler, LLC",May,2018-06-06,Male,White,Craft_Workers,"Plumbers, Pipefitters, and Steamfitters",(47-2152),7,882,28236.22
Expo Center,Standard Insulating Co.,May,2018-07-07,Male,White,Craft_Workers,Carpenters,47-2031,4,303,15405.62
Expo Center,Standard Insulating Co.,May,2018-07-07,Male,White,Craft_Workers,Carpenters,47-2031,2,16,731.2
Expo Center,Standard Insulating Co.,May,2018-07-21,Male,White,Craft_Workers,Carpenters,47-2031,3,263.67,12456.64
Expo Center,"Steve General Contractor, Inc.",May,2018-07-07,Male,White,Craft_Workers,Glaziers,NA,10,1836,56057.98
Expo Center,"Steve General Contractor, Inc.",May,2018-07-07,Male,White,Craft_Workers,Structural Iron and Steel Workers,47-2221,7,1204,39979.949999999997
Expo Center,"Steve General Contractor, Inc.",May,2018-07-07,Male,White,Craft_Workers,Glaziers,NA,11,1721,49429.25
Expo Center,"Steve General Contractor, Inc.",May,2018-07-07,Male,White,Craft_Workers,Structural Iron and Steel Workers,47-2221,6,593.5,20171.759999999998
Expo Center,Structural Services of New York,May,2018-03-31,Male,White,Labors_Helpers,Construction Laborers,47-2061,9,1798.5,54422.33
Expo Center,Structural Services of New York,May,2018-03-31,Male,White,Craft_Workers,Operating Engineers and Other Construction Equipment Operators,47-2073,1,204.5,8500.83
Expo Center,Structural Services of New York,May,2018-03-31,Male,White,Craft_Workers,Carpenters,47-2031,16,2685,86877.34
Expo Center,Structural Services of New York,May,2018-02-10,Male,White,Labors_Helpers,Construction Laborers,47-2061,3,236,7840.48
Expo Center,Structural Services of New York,May,2018-02-10,Male,White,Craft_Workers,Operating Engineers and Other Construction Equipment Operators,47-2073,2,48,1768
Expo Center,Structural Services of New York,May,2018-07-21,Male,White,Labors_Helpers,Construction Laborers,47-2061,4,639,20782.53
Expo Center,Structural Services of New York,May,2018-07-21,Male,White,Craft_Workers,Operating Engineers and Other Construction Equipment Operators,47-2073,3,363.5,14487.33
Expo Center,Structural Services of New York,May,2018-08-28,Male,White,Labors_Helpers,Construction Laborers,47-2061,4,206,5779.82
Expo Center,Structural Services of New York,May,2018-08-28,Male,White,Craft_Workers,Carpenters,47-2031,13,907.5,25721.25
Expo Center,Structural Services of New York,May,2018-07-07,Male,White,Labors_Helpers,Construction Laborers,47-2061,1,70,1694
Expo Center,Structural Services of New York,May,2018-07-07,Male,White,Craft_Workers,Carpenters,47-2031,4,363,10069.75
Expo Center,Structural Services of New York,May,2018-07-07,Male,White,Craft_Workers,Brickmasons and Blockmasons,47-2021,1,26,862.16
Expo Center,Structural Services of New York,May,2018-07-21,Male,White,Labors_Helpers,Construction Laborers,47-2061,3,195.5,5419.58
Expo Center,Structural Services of New York,May,2018-07-21,Male,White,Craft_Workers,Carpenters,47-2031,13,942.5,30340.17
Expo Center,Structural Services of New York,May,2018-08-28,Male,White,Labors_Helpers,Construction Laborers,47-2061,5,947,32966.79
Expo Center,Structural Services of New York,May,2018-08-28,Male,White,Craft_Workers,Operating Engineers and Other Construction Equipment Operators,47-2073,4,548.5,23617.57
Expo Center,Structural Services of New York,May,2000-01-01,Male,White,Labors_Helpers,Construction Laborers,47-2061,4,632,20667.439999999999
Expo Center,Structural Services of New York,May,2000-01-01,Male,White,Craft_Workers,Operating Engineers and Other Construction Equipment Operators,47-2073,2,352,13041.36
Expo Center,"Christina Steel, Inc.",May,2018-06-08,Male,White,Craft_Workers,Structural Iron and Steel Workers,47-2221,10,831,25465.5
Expo Center,"Christina Steel, Inc.",May,2018-06-08,Male,White,Craft_Workers,First-Line Supervisors of Construction Trades and Extraction Workers,47-1011,4,332,11329
Expo Center,"Christina Steel, Inc.",May,2018-06-08,Male,White,Craft_Workers,Crane and Tower Operators,53-7021,4,217,8159.64
Expo Center,"Titan Roofing, Inc.",May,2018-04-29,Male,White,Craft_Workers,Roofers,47-2181,17,836.5,22308.34
Expo Center,"Titan Roofing, Inc.",May,2018-04-29,Male,White,Operatives,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",47-2211,0,NA,NA
Expo Center,"Titan Roofing, Inc.",May,2018-04-29,Male,White,Operatives,Industrial Truck and Tractor Operators,53-7021,0,NA,NA
Expo Center,"Titan Roofing, Inc.",May,2018-07-03,Male,White,Craft_Workers,Roofers,47-2181,18,2057.5,59518
Expo Center,"Titan Roofing, Inc.",May,2018-07-03,Male,White,Operatives,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",47-2211,0,NA,NA
Expo Center,"Titan Roofing, Inc.",May,2018-07-03,Male,White,Operatives,Industrial Truck and Tractor Operators,53-7021,0,NA,NA
Expo Center,"Titan Roofing, Inc.",May,2018-08-28,Male,White,Labors_Helpers,Helpers--Roofers,47-2181,16,2648.5,72565.100000000006
Expo Center,"Titan Roofing, Inc.",May,2018-08-28,Male,White,Craft_Workers,Sheet Metal Workers,47-2211,2,84,2536.8000000000002
Expo Center,"Titan Roofing, Inc.",May,2018-08-28,Male,White,Craft_Workers,Operating Engineers and Other Construction Equipment Operators,53-7021,0,0,NA
Expo Center,"Titan Roofing, Inc.",May,2018-09-01,Male,White,Craft_Workers,Roofers,47-2181,11,708,22921.87
Expo Center,"Titan Roofing, Inc.",May,2018-09-01,Male,White,Craft_Workers,Sheet Metal Workers,47-2211,2,111,4024.08
Expo Center,"Titan Roofing, Inc.",May,2018-09-01,Male,White,Craft_Workers,Operating Engineers and Other Construction Equipment Operators,53-7021,0,NA,NA
Expo Center,"Titan Roofing, Inc.",May,2018-04-01,Male,White,Craft_Workers,Roofers,47-2181,2,4,112.78
Expo Center,Titan Steel,May,2018-08-03,Male,White,Craft_Workers,Structural Iron and Steel Workers,47-2221,2,186,5952
Expo Center,Titan Steel,May,2018-08-07,Male,White,Craft_Workers,Structural Iron and Steel Workers,47-2221,5,344,10096
Expo Center,Titan Steel,May,2018-09-12,Male,White,Craft_Workers,Structural Iron and Steel Workers,47-2221,7,405,12598.5
Expo Center,Titan Steel,May,2018-08-03,Male,White,Craft_Workers,Structural Iron and Steel Workers,47-2221,2,16,512
Expo Center,"Weydman Electric, Inc.",May,2018-08-29,Male,White,Craft_Workers,Electricians,47-2111,3,373.5,15160
Expo Center,XCL Construction Inc,May,2018-06-02,Male,White,Craft_Workers,Carpenters,NA,5,741,NA
Expo Center,XCL Construction Inc,May,2018-06-02,Male,White,Craft_Workers,First-Line Supervisors of Construction Trades and Extraction Workers,47-1011,1,64,NA
Expo Center,XCL Construction Inc,May,2018-06-30,Male,White,Craft_Workers,Carpenters,NA,2,266,NA
Expo Center,XCL Construction Inc,May,2018-06-30,Male,White,Craft_Workers,First-Line Supervisors of Construction Trades and Extraction Workers,47-1011,1,134,NA
Expo Center,XCL Construction Inc,May,2018-08-02,Male,White,Craft_Workers,Carpenters,NA,4,458,NA
Expo Center,XCL Construction Inc,May,2018-08-28,Male,White,Craft_Workers,Carpenters,NA,5,457,NA
Expo Center,XCL Construction Inc,May,2018-05-01,Male,White,Craft_Workers,Carpenters,NA,3,374,NA
Expo Center,XCL Construction Inc,May,2018-05-01,Male,White,Craft_Workers,First-Line Supervisors of Construction Trades and Extraction Workers,47-1011,1,101,NA
Expo Center,"Casler Masonry, Inc.",May,2018-07-06,Male,White,Craft_Workers,First-Line Supervisors of Construction Trades and Extraction Workers,47-1011,2,123,6225
Expo Center,"Casler Masonry, Inc.",May,2018-07-06,Male,White,Craft_Workers,Brickmasons and Blockmasons,47-2021,13,2091.5,70053.98
Expo Center,"Casler Masonry, Inc.",May,2018-07-06,Male,White,Craft_Workers,Operating Engineers and Other Construction Equipment Operators,47-2073,2,181,8232
Expo Center,"Casler Masonry, Inc.",May,2018-07-06,Male,White,Craft_Workers,Carpenters,47-2031,5,77,2744
Expo Center,"Casler Masonry, Inc.",May,2018-07-06,Male,White,Labors_Helpers,Construction Laborers,47-2061,12,782.5,19868.09
Expo Center,"Casler Masonry, Inc.",May,2018-05-04,Male,White,Craft_Workers,First-Line Supervisors of Construction Trades and Extraction Workers,47-1011,2,160,7400
Expo Center,"Casler Masonry, Inc.",May,2018-05-04,Male,White,Craft_Workers,Brickmasons and Blockmasons,47-2021,4,408,13529.28
Expo Center,"Casler Masonry, Inc.",May,2018-05-04,Male,White,Craft_Workers,Operating Engineers and Other Construction Equipment Operators,47-2073,1,78,3402
Expo Center,"Casler Masonry, Inc.",May,2018-05-04,Male,White,Craft_Workers,Carpenters,47-2031,3,21.5,791
Expo Center,"Casler Masonry, Inc.",May,2018-05-04,Male,White,Labors_Helpers,Construction Laborers,47-2061,4,390.5,9552.9500000000007
Expo Center,Pompey Construction Services Inc.,May,2018-07-06,Male,White,Labors_Helpers,Construction Laborers,47-2061,2,220,6089
Expo Center,Pompey Construction Services Inc.,May,2018-07-06,Male,White,Craft_Workers,Operating Engineers and Other Construction Equipment Operators,47-2073,1,184,7368
Expo Center,Pompey Construction Services Inc.,May,2018-06-01,Male,White,Labors_Helpers,Construction Laborers,47-2061,1,250,6655
Expo Center,Pompey Construction Services Inc.,May,2018-06-01,Male,White,Craft_Workers,Operating Engineers and Other Construction Equipment Operators,47-2073,1,250,10131
Expo Center,"RIDLEY ELECTRIC CO., INC",May,2018-06-13,Male,White,Craft_Workers,Electricians,47-2111,26,3859,150332
Expo Center,All Ways Concrete Pumping,May,2018-04-11,Male,White,Craft_Workers,Operating Engineers and Other Construction Equipment Operators,47-2073,1,6,364.38
